AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
6.851,1.325,212.2,0.0,6.063799999999999,0
6.804,2.26,205.5,0.0,6.054599999999999,1
6.751,2.162,213.2,0.0,6.0463000000000005,2
6.792,2.167,207.9,0.0,6.0335,3
6.768,2.368,216.0,0.0,6.0257000000000005,4
6.745,1.0606782861292665,0.0,0.0,6.016800000000001,5
6.759,1.0606782861292665,0.0,0.0,6.0024,6
6.728,2.55,217.7,0.0,6.0045,7
6.786,2.71,227.2,0.0,5.9992,8
6.762,2.26,223.0,0.0,5.983400000000001,9
6.763,2.063,225.7,0.0,5.9354,10
6.704,2.152,231.3,0.0,5.8739,11
6.705,2.142,211.7,0.0,5.8363,12
6.694,2.865,224.4,0.0,5.802700000000001,13
6.685,2.593,223.1,0.0,5.7997,14
6.678,2.723,225.2,0.0,5.7994,15
6.648,1.0606782861292665,0.0,0.0,5.793500000000001,16
6.659,1.627,206.0,0.0,5.7501,17
6.638,1.0606782861292665,0.0,0.0,5.7363,18
6.658,1.943,218.4,0.0,5.7353000000000005,19
6.639,1.0606782861292665,0.0,0.0,5.725900000000001,20
6.65,2.338,216.1,0.0,5.7265,21
6.675,2.477,222.4,0.0,5.731900000000001,22
6.601,1.0606782861292665,0.0,0.0,5.7255,23
6.619,1.0606782861292665,0.0,0.0,5.7289,24
6.529,1.868,206.4,0.0,5.7292000000000005,25
6.629,2.315,244.4,0.0,5.722400000000001,26
6.604,1.553,233.8,0.0,5.701700000000001,27
6.63,2.523,242.8,0.0,5.698,28
6.672,1.978,242.3,0.0,5.685300000000001,29
6.665,2.035,217.2,0.0,5.6518,30
6.573,1.0606782861292665,0.0,0.0,5.6013,31
6.532,1.0606782861292665,0.0,0.0,5.5521,32
6.609,3.352,234.8,0.0,5.5461,33
6.605,2.758,220.5,0.0,5.5617,34
6.626,1.488,234.0,0.0,5.5498,35
