AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
5.685,0.082,347.3,0.0,1.6793,1148
9.23,2.138,315.5,145.5,18.589,677
4.204,1.063,217.2,0.0,0.1829,221
5.509,1.458,253.2,0.0,2.1663,113
10.76,2.513,308.2,147.5,23.404,845
4.812,0.183,318.6,0.0,3.4535000000000005,1293
3.601,0.987,165.0,0.0,0.47190000000000004,174
3.355,0.213,209.9,9.69,1.7147999999999999,479
4.061,0.673,179.3,0.0,2.8632,346
6.356,0.16,199.0,0.0,6.0318000000000005,1436
11.32,0.42,218.2,52.15,19.131000000000004,934
11.22,0.915,297.9,77.34,19.032999999999994,905
3.952,0.622,234.9,13.64,2.0932,486
6.137,0.612,51.46,0.0,5.7063999999999995,1347
5.706,0.15,336.2,0.0,1.7106000000000001,1149
6.573,1.0606782861292665,0.0,0.0,5.6013,31
4.451,0.69,206.2,0.0,0.11000000000000001,210
10.83,0.637,319.9,71.6,18.561,893
6.36,0.157,198.3,0.0,5.9237,1424
10.34,1.43,351.9,170.6,25.152,744
10.38,3.057,288.8,162.2,22.923,785
3.951,0.62,142.1,0.0,2.755,316
4.622,1.422,235.0,0.0,0.5044,188
6.376,0.437,93.8,0.0,6.0200000000000005,1435
3.82,1.0606782861292665,0.0,0.0,3.1195,420
7.177,1.77,8.81,72.26,13.329999999999998,582
3.58,0.782,159.5,0.0,2.6279999999999997,322
5.989,1.893,233.3,0.0,3.9715000000000003,83
6.509,1.707,238.0,0.0,5.415699999999999,48
4.2,1.045,221.3,0.0,0.6471,155
4.911,0.558,172.0,0.0,2.1917,1234
6.154,0.262,34.61,0.0,2.3635,1097
4.056,0.662,202.2,0.0,2.7592,339
6.496,0.57,57.59,0.0,2.5727,1090
5.295,0.465,180.3,0.0,3.9939999999999998,1302
6.189,0.278,71.32,0.0,5.6833,1346
3.121,1.0606782861292665,0.0,-0.455,1.8441000000000003,447
4.163,0.913,231.9,0.0,0.4051,179
5.986,0.502,81.1,0.0,2.3135,1204
5.415,1.192,44.48,0.0,2.1101,1196
2.583,0.662,115.8,0.319,1.5826999999999998,462
5.698,0.402,68.07,0.0,2.0995,1107
10.73,1.047,319.9,80.6,18.73,888
6.145,0.775,135.8,0.0,1.8672999999999997,1131
5.679,0.227,338.3,0.0,1.7677,1150
4.37,0.552,191.6,0.0,3.4118000000000004,377
3.626,0.74,167.4,0.0,2.5214,435
6.314,0.175,117.2,0.0,5.9298,1428
4.789,1.0606782861292665,0.0,36.11,7.640100000000001,527
7.147,1.025,338.5,83.9,13.461999999999998,584
4.435,0.64,211.6,0.0,2.0326999999999997,243
5.572,0.3,81.7,0.0,2.4682000000000004,1225
3.878,0.485,244.0,12.79,2.0074,485
8.88,1.727,339.2,146.8,17.594,704
5.46,0.248,5.401,0.0,1.9647,1182
4.114,0.95,203.3,0.0,2.9516,351
6.146,0.303,217.8,0.0,5.821299999999999,1366
10.71,2.682,280.4,160.5,20.403,826
2.922,0.378,135.8,-0.182,1.75,453
10.46,1.21,343.2,127.5,23.964999999999996,813
6.472,2.645,211.2,0.0,5.3574,54
11.03,0.127,32.32,42.9,17.937000000000005,945
10.73,2.762,290.2,145.9,22.610999999999997,862
4.259,0.532,173.9,0.0,2.976,312
10.63,2.843,304.1,166.7,23.435000000000002,849
5.452,0.818,219.0,0.0,2.2285,109
10.02,0.303,24.25,5.464,9.3169,987
5.651,1.522,217.5,0.0,2.6466000000000003,100
4.354,0.497,185.3,0.0,3.4550000000000005,382
7.878,1.0606782861292665,0.0,75.54,12.814999999999998,618
10.84,1.432,296.1,36.09,16.912000000000003,915
