iter	RMSE
0	53.77887947
1	53.30539145
2	52.84548157
3	52.3899163
4	51.94070479
5	51.46580556
6	51.03195992
7	50.57975123
8	50.12954005
9	49.70035825
10	49.28305264
11	48.87435455
12	48.5077496
13	48.10690753
14	47.68297101
15	47.25923842
16	46.86622395
17	46.49597977
18	46.10192752
19	45.70918191
20	45.31900024
21	44.94003972
22	44.55243464
23	44.18006899
24	43.79667276
25	43.42004921
26	43.03957805
27	42.67423069
28	42.30299884
29	41.95900598
30	41.59042594
31	41.24223885
32	40.88199947
33	40.54154969
34	40.1988051
35	39.84522613
36	39.503844
37	39.16604685
38	38.83502365
39	38.49725113
40	38.17543619
41	37.85372896
42	37.54910075
43	37.24098917
44	36.93578436
45	36.61832953
46	36.34094974
47	36.04007077
48	35.73951317
49	35.46063083
50	35.16644441
51	34.88310552
52	34.59078887
53	34.30035431
54	34.0190419
55	33.74960216
56	33.47996191
57	33.2216431
58	32.94462578
59	32.67874732
60	32.41290939
61	32.15383092
62	31.89999793
63	31.6347026
64	31.38424323
65	31.14582931
66	30.88279159
67	30.64370958
68	30.40014954
69	30.15017408
70	29.90724324
71	29.67001693
72	29.43589719
73	29.21043885
74	28.97552938
75	28.74402901
76	28.50667881
77	28.28589816
78	28.08008723
79	27.86041343
80	27.63673107
81	27.43310329
82	27.22880212
83	27.01673804
84	26.79622073
85	26.60227041
86	26.38756358
87	26.17746755
88	25.98900889
89	25.77914189
90	25.59517999
91	25.41149321
92	25.21923413
93	25.02981952
94	24.84933661
95	24.66044054
96	24.46529902
97	24.28869083
98	24.10390034
99	23.930442
100	23.75411049
101	23.59276907
102	23.42703991
103	23.25180377
104	23.08748593
105	22.90797181
106	22.73361854
107	22.57414591
108	22.41096146
109	22.25376509
110	22.09119035
111	21.93334543
112	21.7737348
113	21.60937322
114	21.46262544
115	21.32006954
116	21.1953238
117	21.04422111
118	20.88745454
119	20.74171768
120	20.59371299
121	20.45677756
122	20.30548978
123	20.16328698
124	20.02398808
125	19.90612256
126	19.7624686
127	19.63002323
128	19.50074319
129	19.3770609
130	19.25202232
131	19.12577865
132	18.99693525
133	18.87576125
134	18.74823917
135	18.63035032
136	18.50441807
137	18.38468749
138	18.26768301
139	18.14641537
140	18.01999245
141	17.91225679
142	17.8017015
143	17.68538615
144	17.5730409
145	17.4584612
