iter	Passed	Remaining
0	1	1524
1	2	1458
2	4	1382
3	5	1384
4	6	1368
5	8	1415
6	9	1410
7	11	1391
8	12	1389
9	13	1366
10	14	1347
11	16	1339
12	17	1342
13	19	1356
14	20	1360
15	22	1373
16	24	1401
17	25	1407
18	27	1394
19	28	1392
20	29	1398
21	31	1393
22	32	1386
23	33	1376
24	35	1372
25	36	1370
26	37	1365
27	39	1360
28	40	1355
29	41	1352
30	43	1348
31	44	1344
32	45	1340
33	47	1340
34	48	1337
35	49	1331
36	51	1328
37	52	1332
38	54	1335
39	55	1334
40	57	1333
41	58	1330
42	59	1324
43	60	1324
44	62	1326
45	63	1319
46	65	1320
47	66	1313
48	67	1311
49	68	1310
50	70	1308
51	71	1309
52	72	1304
53	74	1299
54	75	1297
55	76	1295
56	78	1293
57	79	1293
58	80	1289
59	82	1291
60	83	1290
61	85	1290
62	86	1292
63	88	1289
64	89	1285
65	90	1286
66	92	1288
67	93	1287
68	95	1283
69	96	1285
70	98	1284
71	99	1283
72	100	1279
73	102	1277
74	103	1274
75	104	1270
76	105	1269
77	107	1267
78	108	1266
79	110	1266
80	111	1266
81	113	1266
82	114	1266
83	116	1267
84	117	1265
85	118	1263
86	120	1261
87	121	1260
88	122	1257
89	124	1255
90	125	1252
91	126	1252
92	128	1252
93	129	1252
94	131	1250
95	132	1250
96	134	1251
97	135	1250
98	137	1248
99	138	1247
100	139	1245
101	141	1244
102	143	1247
103	144	1246
104	145	1243
105	147	1241
106	148	1238
107	149	1238
108	151	1236
109	152	1235
110	154	1233
111	155	1230
112	156	1229
113	158	1229
114	159	1226
115	161	1227
116	162	1225
117	163	1225
118	165	1224
119	166	1222
120	168	1221
121	169	1220
122	170	1219
123	172	1218
124	173	1217
125	175	1217
126	176	1216
127	178	1214
128	179	1213
129	181	1211
130	182	1209
131	183	1205
132	184	1203
133	185	1201
134	187	1198
135	188	1196
136	189	1193
137	190	1190
138	192	1190
139	193	1189
140	195	1188
141	196	1186
142	197	1185
143	199	1184
144	200	1183
145	202	1181
146	203	1180
147	204	1178
148	206	1177
149	207	1175
150	208	1173
151	209	1171
152	211	1169
153	212	1167
154	213	1165
155	215	1164
156	216	1162
157	217	1160
158	218	1158
159	220	1156
160	221	1154
161	223	1153
162	224	1152
163	225	1151
164	227	1151
165	228	1148
166	230	1148
167	232	1149
168	233	1147
169	234	1145
170	235	1143
171	236	1139
172	238	1138
173	239	1137
174	241	1137
175	242	1136
176	244	1134
177	245	1133
178	246	1131
179	247	1129
180	249	1128
181	250	1126
182	251	1124
183	253	1122
184	254	1121
185	255	1119
186	257	1120
187	259	1119
188	260	1118
189	262	1117
190	263	1117
191	265	1115
192	266	1113
193	267	1111
194	268	1110
195	270	1108
196	271	1106
197	272	1104
198	273	1102
199	275	1100
200	276	1099
201	277	1097
202	278	1094
203	280	1092
204	281	1090
205	282	1088
206	283	1086
207	284	1084
208	286	1082
209	287	1080
210	288	1078
211	289	1077
212	291	1075
213	292	1075
214	294	1073
215	295	1071
216	296	1070
217	297	1068
218	299	1067
219	301	1067
220	302	1065
221	303	1064
222	305	1062
223	306	1061
224	307	1059
225	308	1058
226	310	1057
227	311	1056
228	313	1054
229	314	1054
230	316	1052
231	317	1051
232	318	1049
233	320	1048
234	321	1046
235	322	1045
236	323	1043
237	325	1041
238	326	1039
239	327	1037
240	329	1037
241	330	1035
242	332	1035
243	333	1033
244	334	1032
245	336	1030
246	337	1029
247	339	1028
248	340	1026
249	341	1024
250	343	1023
251	344	1022
252	345	1020
253	347	1020
254	348	1019
255	350	1018
256	351	1016
257	352	1015
258	354	1013
259	355	1011
260	356	1009
261	357	1007
262	359	1007
263	360	1004
264	361	1003
265	363	1001
266	364	999
267	365	998
268	367	997
269	368	996
270	369	994
271	371	993
272	372	991
273	373	990
274	374	988
275	376	986
276	377	985
277	378	984
278	380	982
279	381	980
280	382	979
281	383	977
282	385	975
283	386	974
284	387	972
285	389	971
286	390	970
287	391	968
288	393	967
289	394	966
290	396	965
291	397	963
292	399	962
293	400	961
294	401	959
295	402	957
296	404	956
297	405	954
298	406	953
299	408	952
300	409	950
301	410	948
302	411	947
303	412	945
304	414	943
305	415	942
306	416	941
307	418	939
308	419	938
309	420	936
310	422	935
311	423	934
312	424	932
313	426	931
314	427	929
315	429	928
316	430	927
317	431	925
318	432	923
319	433	921
320	435	920
321	436	918
322	437	917
323	439	916
324	440	915
325	442	913
326	443	912
327	444	911
328	446	910
329	447	909
330	449	908
331	450	906
332	452	905
333	453	904
334	454	902
335	456	901
336	457	899
337	458	898
338	459	896
339	461	894
340	462	893
341	463	891
342	464	890
343	466	888
344	467	887
345	468	885
346	469	884
347	471	882
348	472	881
349	473	879
350	474	877
351	476	876
352	477	875
353	478	873
354	480	872
355	481	871
356	483	870
357	484	869
358	486	868
359	487	867
360	488	865
361	490	864
362	491	862
363	492	861
364	494	859
365	495	857
366	496	856
367	497	854
368	499	853
369	500	852
370	501	850
371	502	849
372	504	847
373	505	846
374	507	845
375	508	844
376	510	843
377	511	841
378	513	840
379	514	839
380	515	837
381	516	835
382	517	834
383	519	832
384	520	831
385	521	830
386	523	828
387	524	827
388	525	825
389	527	824
390	528	822
391	529	821
392	530	820
393	532	818
394	533	817
395	535	816
396	536	814
397	537	813
398	539	812
399	540	811
400	542	809
401	543	808
402	544	807
403	546	805
404	547	804
405	548	803
406	550	801
407	551	800
408	552	798
409	553	797
410	555	795
411	556	794
412	558	793
413	559	791
414	560	790
415	562	789
416	563	788
417	564	786
418	566	784
419	567	783
420	568	781
421	569	780
422	571	779
423	572	777
424	573	776
425	575	774
