iter	Passed	Remaining
0	136	136195
1	137	68850
2	139	46399
3	140	35100
4	142	28372
5	143	23830
6	145	20586
7	146	18132
8	147	16245
9	148	14736
10	150	13512
11	151	12480
12	152	11599
13	153	10831
14	155	10184
15	156	9639
16	158	9150
17	159	8699
18	160	8295
19	161	7935
20	163	7633
21	165	7348
22	166	7076
23	167	6831
24	169	6603
25	170	6403
26	172	6203
27	173	6012
28	174	5838
29	176	5713
30	178	5572
31	179	5435
32	180	5298
33	182	5176
34	183	5055
35	184	4940
36	185	4835
37	187	4734
38	188	4637
39	189	4548
40	190	4464
41	192	4388
42	193	4308
43	194	4229
44	195	4157
45	197	4090
46	198	4024
47	200	3971
48	201	3909
49	203	3858
50	204	3805
51	205	3749
52	206	3696
53	208	3649
54	209	3601
55	210	3553
56	211	3506
57	213	3469
58	214	3426
59	216	3391
60	217	3349
61	219	3318
62	220	3280
63	221	3242
64	223	3209
65	224	3175
66	225	3143
67	226	3109
68	228	3076
69	229	3044
70	230	3017
71	231	2986
72	233	2959
73	234	2934
74	235	2909
75	237	2884
76	238	2859
77	239	2832
78	240	2806
79	241	2781
80	242	2756
81	244	2736
82	245	2712
83	246	2691
84	248	2673
85	249	2655
86	251	2635
87	252	2614
88	253	2595
89	254	2576
90	255	2556
91	257	2542
92	258	2523
93	260	2506
94	261	2491
95	262	2473
96	264	2458
97	265	2444
98	267	2429
99	268	2414
100	269	2397
101	270	2383
102	271	2367
103	273	2352
104	274	2337
105	275	2325
106	276	2311
107	278	2297
108	279	2284
109	280	2270
110	281	2257
111	283	2244
112	284	2233
113	285	2220
114	286	2207
115	288	2195
116	289	2184
117	290	2172
118	291	2161
119	293	2150
120	294	2140
121	295	2128
122	296	2117
123	298	2106
124	299	2096
125	300	2086
126	301	2074
127	302	2063
128	304	2053
129	305	2044
130	306	2033
131	307	2023
132	309	2016
133	310	2009
134	312	2000
135	313	1989
136	314	1979
137	315	1973
138	317	1964
139	318	1956
140	319	1947
141	321	1940
142	322	1932
143	323	1923
144	324	1914
145	325	1906
146	327	1898
147	328	1890
148	329	1882
149	331	1875
150	332	1868
151	333	1861
152	334	1854
153	336	1846
154	337	1839
155	338	1832
156	339	1825
157	341	1818
158	342	1811
159	343	1805
160	345	1798
161	346	1793
162	347	1786
163	349	1779
164	350	1773
165	351	1768
166	353	1761
167	354	1756
168	355	1749
169	357	1744
170	358	1738
171	359	1732
172	361	1727
173	363	1723
174	364	1717
175	365	1711
176	366	1706
177	368	1700
178	369	1694
179	370	1689
180	372	1685
181	373	1680
182	375	1674
183	376	1669
184	377	1664
185	379	1659
186	380	1654
187	381	1649
188	383	1644
189	384	1640
190	385	1634
191	387	1629
192	388	1624
193	389	1619
194	391	1615
195	392	1609
196	393	1605
197	395	1601
198	396	1596
199	397	1591
200	399	1587
201	400	1582
202	402	1579
203	403	1575
204	405	1571
205	406	1567
206	407	1562
207	409	1557
208	410	1552
209	411	1548
210	413	1544
211	414	1540
212	415	1535
213	417	1531
214	418	1527
215	419	1523
216	421	1519
217	422	1515
218	424	1512
219	425	1507
